genres,Genre_1,Genre_2,imdb_rating,length,rank_in_year,rating,release_date,studio,title,year
"Drama
Crime
Action",Drama,Crime,6.9,141,10,PG-13,3-Aug-94,Paramount Pictures,Clear and Present Danger,1994
"Thriller
Sci-Fi
Adventure",Thriller,Sci-Fi,8,127,1,PG-13,11-Jun-93,Universal Pictures / Amblin Entertainment,Jurassic Park,1993
"Family
Drama
Comedy",Family,Drama,6.9,125,2,PG-13,24-Nov-93,20th Century Fox,Mrs. Doubtfire,1993
"Crime
Adventure
Action",Crime,Adventure,7.8,130,3,PG-13,6-Aug-93,Warner Bros.,The Fugitive,1993
"History
Drama
Biography",History,Drama,8.9,195,4,R,4-Feb-94,Universal Pictures / Amblin Entertainment,Schindler's List,1993
"Thriller
Mystery
Drama",Thriller,Mystery,6.8,154,5,R,30-Jun-93,Paramount Pictures,The Firm,1993
"Romance
Drama",Romance,Drama,5.8,117,6,R,7-Apr-93,Paramount Pictures,Indecent Proposal,1993
"Thriller
Adventure
Action",Thriller,Adventure,6.3,112,7,R,28-May-93,TriStar Pictures / Carolco Pictures,Cliffhanger,1993
"Romance
Drama
Comedy",Romance,Drama,6.8,105,8,PG,25-Jun-93,TriStar Pictures,Sleepless in Seattle,1993
Drama,Drama,,7.7,125,9,PG-13,14-Jan-94,TriStar Pictures,Philadelphia,1993
"Drama
Crime
Action",Drama,Crime,6.5,141,10,PG-13,17-Dec-93,Warner Bros.,The Pelican Brief,1993
"Comedy
Animation
Adventure",Comedy,Animation,8,90,1,G,25-Nov-92,Walt Disney Pictures,Aladdin,1992
"Music
Drama
Action",Music,Drama,6.1,129,2,R,25-Nov-92,Warner Bros.,The Bodyguard,1992
"Family
Comedy
Adventure",Family,Comedy,6.5,120,3,PG,20-Nov-92,20th Century Fox,Home Alone 2: Lost in New York,1992
"Thriller
Mystery
Drama",Thriller,Mystery,6.9,127,4,R,20-Mar-92,TriStar Pictures / Carolco Pictures,Basic Instinct,1992
"Thriller
Crime
Action",Thriller,Crime,6.7,118,5,R,15-May-92,Warner Bros.,Lethal Weapon 3,1992
Action,Action,,7,126,6,PG-13,19-Jun-92,Warner Bros. / PolyGram,Batman Returns,1992
"Thriller
Drama",Thriller,Drama,7.6,138,7,R,11-Dec-92,Columbia Pictures / Castle Rock Entertainment,A Few Good Men,1992
"Music
Comedy",Music,Comedy,6.2,100,8,PG,29-May-92,Touchstone Pictures,Sister Act,1992
"Romance
Horror",Romance,Horror,7.5,128,9,R,13-Nov-92,Columbia Pictures,Bram Stoker's Dracula,1992
"Music
Comedy",Music,Comedy,7,94,10,PG-13,14-Feb-92,Paramount Pictures,Wayne's World,1992
"Sci-Fi
Action",Sci-Fi,Action,8.5,137,1,R,3-Jul-91,TriStar Pictures / Carolco Pictures / Lightstorm Entertainment,Terminator 2: Judgment Day,1991
"Drama
Adventure
Action",Drama,Adventure,6.9,143,2,PG-13,14-Jun-91,Warner Bros.,Robin Hood: Prince of Thieves,1991
"Fantasy
Family
Animation",Fantasy,Family,8,84,3,G,22-Nov-91,Walt Disney Pictures,Beauty and the Beast,1991
"Family
Comedy
Adventure",Family,Comedy,6.7,142,4,PG,11-Dec-91,TriStar Pictures / Amblin Entertainment,Hook,1991
Thriller,Thriller,,8.6,118,5,R,14-Feb-91,Orion Pictures,The Silence of the Lambs,1991
"Thriller
History
Drama",Thriller,History,8,189,6,R,20-Dec-91,Warner Bros.,JFK,1991
"Fantasy
Comedy",Fantasy,Comedy,6.8,99,7,PG-13,22-Nov-91,Paramount Pictures / Orion Pictures,The Addams Family,1991
"Thriller
Crime",Thriller,Crime,7.3,128,8,R,15-Nov-91,Universal Pictures,Cape Fear,1991
Comedy,Comedy,,6.7,84,9,PG-13,31-Jul-91,20th Century Fox,Hot Shots!,1991
"Western
Comedy",Western,Comedy,6.7,113,10,PG-13,7-Jun-91,Columbia Pictures / Castle Rock Entertainment / Nelson Entertainment,City Slickers,1991
"Romance
Fantasy
Drama",Romance,Fantasy,7,127,1,PG-13,13-Jul-90,Paramount Pictures,Ghost,1990
"Family
Comedy",Family,Comedy,7.4,103,2,PG,16-Nov-90,20th Century Fox,Home Alone,1990
"Romance
Comedy",Romance,Comedy,6.9,119,3,R,23-Mar-90,Touchstone Pictures,Pretty Woman,1990
"Western
Drama
Adventure",Western,Drama,8,181,4,PG-13,21-Nov-90,Orion Pictures,Dances with Wolves,1990
"Action
Sci-Fi
Mystery",Action,Sci-Fi,7.5,113,5,R,1-Jun-90,TriStar Pictures / Carolco Pictures,Total Recall,1990
"Romance
Comedy
Adventure",Romance,Comedy,7.4,118,6,PG,25-May-90,Universal Pictures,Back to the Future Part III,1990
"Thriller
Action",Thriller,Action,7.1,124,7,R,4-Jul-90,20th Century Fox / Silver Pictures,Die Hard 2,1990
"Mystery
Drama
Crime",Mystery,Drama,6.9,127,8,R,27-Jul-90,Warner Bros.,Presumed Innocent,1990
"Comedy
Adventure
Action",Comedy,Adventure,6.7,93,9,PG,30-Mar-90,New Line Cinema,Teenage Mutant Ninja Turtles,1990
"Crime
Comedy
Action",Crime,Comedy,6,111,10,PG-13,21-Dec-90,Universal Pictures,Kindergarten Cop,1990
"Adventure
Action",Adventure,Action,8.3,127,1,PG-13,24-May-89,Paramount Pictures / Lucasfilm,Indiana Jones and the Last Crusade,1989
"Adventure
Action",Adventure,Action,7.6,126,2,PG-13,23-Jun-89,Warner Bros. / PolyGram,Batman,1989
"Sci-Fi
Comedy
Adventure",Sci-Fi,Comedy,7.8,108,3,PG,22-Nov-89,Universal Pictures,Back to the Future Part II,1989
"Romance
Comedy",Romance,Comedy,5.8,93,4,PG-13,13-Oct-89,TriStar Pictures,Look Who's Talking,1989
Drama,Drama,,8,128,5,PG,9-Jun-89,Touchstone Pictures,Dead Poets Society,1989
"Thriller
Crime
Action",Thriller,Crime,7.2,114,6,R,7-Jul-89,Warner Bros.,Lethal Weapon 2,1989
"Family
Comedy
Adventure",Family,Comedy,6.2,93,7,PG,23-Jun-89,Walt Disney Pictures,"Honey, I Shrunk the Kids",1989
"Horror
Fantasy
Comedy",Horror,Fantasy,6.5,108,8,PG,16-Jun-89,Columbia Pictures,Ghostbusters II,1989
"Fantasy
Family
Animation",Fantasy,Family,7.6,83,9,G,17-Nov-89,Walt Disney Pictures,The Little Mermaid,1989
"War
Drama
Biography",War,Drama,7.2,145,10,R,5-Jan-90,Universal Pictures,Born on the Fourth of July,1989
Drama,Drama,,8,133,1,R,16-Dec-88,United Artists,Rain Man,1988
"Crime
Comedy
Animation",Crime,Comedy,7.7,104,2,PG,22-Jun-88,Touchstone Pictures / Amblin Entertainment,Who Framed Roger Rabbit,1988
"Romance
Comedy",Romance,Comedy,6.9,116,3,R,29-Jun-88,Paramount Pictures,Coming to America,1988
"Fantasy
Drama
Comedy",Fantasy,Drama,7.3,104,4,PG,3-Jun-88,20th Century Fox / Gracie Films,Big,1988
Comedy,Comedy,,5.9,107,5,PG,9-Dec-88,Universal Pictures,Twins,1988
"Comedy
Adventure
Action",Comedy,Adventure,5.5,108,6,PG,25-May-88,Paramount Pictures,"""Crocodile"" Dundee II",1988
"Thriller
Action",Thriller,Action,8.3,131,7,R,20-Jul-88,20th Century Fox / Silver Pictures,Die Hard,1988
"Crime
Comedy",Crime,Comedy,7.6,85,8,PG-13,2-Dec-88,Paramount Pictures,The Naked Gun: From the Files of Police Squad!,1988
"Romance
Drama
Comedy",Romance,Drama,5.8,104,9,R,29-Jul-88,Touchstone Pictures,Cocktail,1988
Comedy,Comedy,,7.4,92,10,PG,30-Mar-88,Warner Bros. / Geffen Pictures,Beetlejuice,1988
"Family
Drama
Comedy",Family,Drama,5.8,102,1,PG,25-Nov-87,Touchstone Pictures,Three Men and a Baby,1987
"Thriller
Drama",Thriller,Drama,6.9,119,2,R,18-Sep-87,Paramount Pictures,Fatal Attraction,1987
"Crime
Comedy
Action",Crime,Comedy,6.4,100,3,R,20-May-87,Paramount,Beverly Hills Cop II,1987
"War
Drama
Comedy",War,Drama,7.3,121,4,R,15-Jan-88,Touchstone,"Good Morning, Vietnam",1987
"Romance
Drama
Comedy",Romance,Drama,7.1,102,5,PG,15-Jan-88,Metro-Goldwyn-Mayer,Moonstruck,1987
"Thriller
Drama
Crime",Thriller,Drama,8,119,6,R,3-Jun-87,Paramount,The Untouchables,1987
Comedy,Comedy,,6.4,111,7,PG-13,10-Apr-87,Universal Pictures,The Secret of My Success,1987
"Thriller
Comedy",Thriller,Comedy,6.6,117,8,R,5-Aug-87,Touchstone,Stakeout,1987
"Thriller
Crime
Action",Thriller,Crime,7.6,110,9,R,6-Mar-87,Warner Bros.,Lethal Weapon,1987
"Horror
Fantasy
Comedy",Horror,Fantasy,6.5,118,10,R,12-Jun-87,Warner Bros.,The Witches of Eastwick,1987
"Romance
Drama
Action",Romance,Drama,6.8,110,1,PG,16-May-86,Paramount Pictures,Top Gun,1986
"Adventure
Comedy
Crime",Adventure,Comedy,6.5,97,2,PG-13,26-Sep-86,Paramount Pictures / 20th Century Fox,"""Crocodile"" Dundee",1986
"War
Drama",War,Drama,8.1,120,3,R,6-Feb-87,Orion Pictures,Platoon,1986
"Romance
Family
Action",Romance,Family,5.8,113,4,PG,20-Jun-86,Columbia Pictures,"The Karate Kid, Part II",1986
"Comedy
Adventure
Action",Comedy,Adventure,7.3,119,5,PG,26-Nov-86,Paramount Pictures,Star Trek IV: The Voyage Home,1986
"Sport
Romance
Comedy",Sport,Romance,6.5,96,6,PG-13,13-Jun-86,Orion Pictures,Back to School,1986
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,8.4,137,7,R,18-Jul-86,20th Century Fox,Aliens,1986
"Drama
Comedy
Animation",Drama,Comedy,6.9,80,8,G,21-Nov-86,Universal Studios,An American Tail,1986
"Comedy
Adventure
Action",Comedy,Adventure,5.8,94,9,PG-13,12-Dec-86,Paramount Pictures,The Golden Child,1986
"Crime
Comedy",Crime,Comedy,6.8,93,10,R,27-Jun-86,Buena Vista Pictures Distribution,Ruthless People,1986
"Romance
Comedy
Adventure",Romance,Comedy,8.5,116,1,PG,3-Jul-85,Universal Pictures / Amblin Entertainment,Back to the Future,1985
"Thriller
Adventure
Action",Thriller,Adventure,6.4,96,2,R,22-May-85,TriStar Pictures / Carolco,Rambo: First Blood Part II,1985
"Sport
Drama",Sport,Drama,6.7,91,3,PG,27-Nov-85,United Artists,Rocky IV,1985
Drama,Drama,,7.8,154,4,PG-13,7-Feb-86,Warner Bros.,The Color Purple,1985
"Romance
Drama
Biography",Romance,Drama,7.2,161,5,PG,20-Dec-85,Universal Pictures,Out Of Africa,1985
Sci-Fi,Sci-Fi,,6.6,117,6,PG-13,21-Jun-85,20th Century Fox,Cocoon,1985
"Comedy
Adventure
Action",Comedy,Adventure,6,106,7,PG,11-Dec-85,20th Century Fox,The Jewel of the Nile,1985
"Romance
Drama
Crime",Romance,Drama,7.5,112,8,R,8-Feb-85,Paramount Pictures,Witness,1985
"Family
Comedy
Adventure",Family,Comedy,7.8,114,9,PG,7-Jun-85,Warner Bros.,The Goonies,1985
"Comedy
Adventure",Comedy,Adventure,6.3,102,10,PG,6-Dec-85,Warner Bros.,Spies Like Us,1985
"Fantasy
Comedy",Fantasy,Comedy,7.8,105,1,PG,8-Jun-84,Columbia Pictures,Ghostbusters,1984
"Comedy
Action",Comedy,Action,7.3,105,2,R,5-Dec-84,Paramount Pictures,Beverly Hills Cop,1984
"Action
Adventure
Drama",Action,Adventure,7.6,118,3,PG,23-May-84,Paramount Pictures / Lucasfilm,Indiana Jones and the Temple of Doom,1984
"Horror
Comedy",Horror,Comedy,7.2,106,4,PG,8-Jun-84,Warner Bros.,Gremlins,1984
"Family
Drama
Action",Family,Drama,7.2,126,5,PG,22-Jun-84,Columbia Pictures,The Karate Kid,1984
Comedy,Comedy,,6.6,96,6,R,23-Mar-84,Warner Bros. / The Ladd Company,Police Academy,1984
"Romance
Music
Drama",Romance,Music,6.4,107,7,R,17-Feb-84,Paramount Pictures,Footloose,1984
"Sci-Fi
Action",Sci-Fi,Action,8.1,107,8,R,26-Oct-84,Orion Pictures,The Terminator,1984
"Comedy
Adventure
Action",Comedy,Adventure,6.9,106,9,PG,30-Mar-84,20th Century Fox,Romancing the Stone,1984
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,6.6,105,10,PG,1-Jun-84,Paramount Pictures,Star Trek III: The Search for Spock,1984
"Fantasy
Adventure
Action",Fantasy,Adventure,8.4,134,1,PG,25-May-83,Lucasfilm / 20th Century Fox,Star Wars Episode VI: Return of the Jedi,1983
"Drama
Comedy",Drama,Comedy,7.4,132,2,R,9-Dec-83,Paramount Pictures,Terms of Endearment,1983
"Romance
Music
Drama",Romance,Music,6.1,95,3,R,15-Apr-83,Paramount Pictures / PolyGram,Flashdance,1983
Comedy,Comedy,,7.5,116,4,R,8-Jun-83,Paramount Pictures,Trading Places,1983
"Thriller
Sci-Fi",Thriller,Sci-Fi,7.1,114,5,PG,3-Jun-83,United Artists,WarGames,1983
"Thriller
Adventure
Action",Thriller,Adventure,6.6,131,6,PG,10-Jun-83,United Artists,Octopussy,1983
"Thriller
Action",Thriller,Action,6.6,117,7,R,9-Dec-83,Warner Bros.,Sudden Impact,1983
"Romance
Music
Drama",Romance,Music,4.4,93,8,PG,15-Jul-83,Paramount Pictures,Staying Alive,1983
"Drama
Comedy
Western",Drama,Comedy,6.4,91,9,PG,19-Aug-83,20th Century Fox,Mr. Mom,1983
"Drama
Crime
Comedy",Drama,Crime,6.8,99,10,R,5-Aug-83,Warner Bros.,Risky Business,1983
"Sci-Fi
Family
Western",Sci-Fi,Family,7.9,115,1,PG,11-Jun-82,Universal Pictures,E.T. the Extra-Terrestrial,1982
"Romance
Comedy",Romance,Comedy,7.4,116,2,PG,17-Dec-82,Columbia Pictures,Tootsie,1982
"Romance
Drama",Romance,Drama,7,124,3,R,13-Aug-82,Paramount Pictures / Lorimar,An Officer and a Gentleman,1982
"Sport
Drama",Sport,Drama,6.7,99,4,PG,28-May-82,United Artists,Rocky III,1982
Comedy,Comedy,,6.1,94,5,R,19-Mar-82,20th Century Fox,Porky's,1982
"Drama
Adventure
Action",Drama,Adventure,7.7,113,6,PG,4-Jun-82,Paramount Pictures,Star Trek II: The Wrath of Khan,1982
"Crime
Comedy
Action",Crime,Comedy,6.9,96,7,R,8-Dec-82,Paramount Pictures,48 Hrs.,1982
Horror,Horror,,7.4,114,8,PG,4-Jun-82,Metro-Goldwyn-Mayer,Poltergeist,1982
"Musical
Comedy",Musical,Comedy,5.7,114,9,R,23-Jul-82,Universal Pictures / RKO Pictures,The Best Little Whorehouse in Texas,1982
"Family
Drama
Comedy",Family,Drama,6.5,127,10,PG,18-Jun-82,Columbia Pictures / Rastar,Annie,1982
"Adventure
Action",Adventure,Action,8.6,115,1,PG,12-Jun-81,Paramount Pictures / Lucasfilm,Raiders of the Lost Ark,1981
Drama,Drama,,7.7,109,2,PG,12-Feb-82,Universal Pictures / ITC,On Golden Pond,1981
"Sci-Fi
Romance
Action",Sci-Fi,Romance,6.8,127,3,PG,19-Jun-81,Warner Bros.,Superman II,1981
"Romance
Comedy",Romance,Comedy,6.9,97,4,PG,17-Jul-81,Orion Pictures / Warner Bros.,Arthur,1981
"War
Comedy",War,Comedy,6.9,106,5,R,26-Jun-81,Columbia Pictures,Stripes,1981
"Comedy
Action",Comedy,Action,6.1,95,6,PG,19-Jun-81,20th Century Fox / Golden Harvest,The Cannonball Run,1981
"Sport
History
Drama",Sport,History,7.2,119,7,PG,9-Apr-82,Warner Bros. / Ladd,Chariots of Fire,1981
"Thriller
Adventure
Action",Thriller,Adventure,6.8,127,8,PG,26-Jun-81,United Artists,For Your Eyes Only,1981
"Drama
Comedy",Drama,Comedy,7.2,107,9,PG,22-May-81,Universal Pictures,The Four Seasons,1981
"Fantasy
Comedy
Adventure",Fantasy,Comedy,7,110,10,PG,6-Nov-81,Embassy Pictures,Time Bandits,1981
"Adventure
Action
Fantasy",Adventure,Action,8.8,124,1,PG,20-Jun-80,20th Century Fox,Star Wars Episode V: The Empire Strikes Back,1980
Comedy,Comedy,,6.6,110,2,PG,19-Dec-80,20th Century-Fox,9 to 5,1980
"Crime
Comedy",Crime,Comedy,6.8,111,3,R,12-Dec-80,Columbia Pictures,Stir Crazy,1980
Comedy,Comedy,,7.8,88,4,PG,2-Jul-80,Paramount Pictures,Airplane!,1980
"Comedy
Action",Comedy,Action,6,116,5,PG,17-Dec-80,Warner Bros. Pictures,Any Which Way You Can,1980
"War
Comedy",War,Comedy,6,109,6,R,10-Oct-80,Warner Bros.,Private Benjamin,1980
"Music
Drama
Biography",Music,Drama,7.5,124,7,PG,7-Mar-80,Universal Studios,Coal Miner's Daughter,1980
"Crime
Comedy
Action",Crime,Comedy,5.1,100,8,PG,15-Aug-80,Universal Studios,Smokey and the Bandit II,1980
"Romance
Drama
Adventure",Romance,Drama,5.7,104,9,R,2-Jul-80,Columbia Pictures,The Blue Lagoon,1980
"Crime
Comedy
Action",Crime,Comedy,8,133,10,R,20-Jun-80,Universal Studios,The Blues Brothers,1980
Drama,Drama,,7.8,105,1,PG-13,19-Dec-79,Columbia Pictures,Kramer vs. Kramer,1979
"Horror
Drama",Horror,Drama,6.2,117,2,R,27-Jul-79,American International Pictures,The Amityville Horror,1979
"Sport
Drama
Action",Sport,Drama,7.1,119,3,PG,15-Jun-79,United Artists Pictures,Rocky II,1979
"War
Drama",War,Drama,8.5,153,4,R,15-Aug-79,United Artists Pictures,Apocalypse Now,1979
"Sci-Fi
Mystery
Adventure",Sci-Fi,Mystery,6.4,132,5,PG,7-Dec-79,Paramount Pictures,Star Trek: The Motion Picture,1979
"Sci-Fi
Horror",Sci-Fi,Horror,8.5,117,6,R,22-Jun-79,20th Century Fox Film Corporation,Alien,1979
"Romance
Comedy",Romance,Comedy,6,122,7,R,5-Oct-79,Warner Bros. Pictures,10,1979
Comedy,Comedy,,7.2,94,8,R,14-Dec-79,Universal Studios,The Jerk,1979
"Crime
Adventure
Action",Crime,Adventure,6.2,126,9,PG,29-Jun-79,United Artists Pictures,Moonraker,1979
"Family
Comedy
Adventure",Family,Comedy,7.7,95,10,G,22-Jun-79,Associated Film Distribution,The Muppet Movie,1979
"Romance
Musical",Romance,Musical,7.2,110,1,PG-13,16-Jun-78,Paramount Pictures,Grease,1978
"Sci-Fi
Drama
Action",Sci-Fi,Drama,7.3,143,2,PG,15-Dec-78,Warner Bros.,Superman,1978
Comedy,Comedy,,7.6,109,3,R,28-Jul-78,Universal Pictures,National Lampoon's Animal House,1978
"Comedy
Action",Comedy,Action,6.2,114,4,PG,20-Dec-78,Warner Bros.,Every Which Way but Loose,1978
"Sport
Romance
Comedy",Sport,Romance,6.9,101,5,PG,28-Jun-78,Paramount Pictures,Heaven Can Wait,1978
"Comedy
Action",Comedy,Action,6.2,99,6,PG,28-Jul-78,Warner Bros.,Hooper,1978
"Thriller
Horror",Thriller,Horror,5.7,116,7,PG,16-Jun-78,Universal Pictures,Jaws 2,1978
"Horror
Drama",Horror,Drama,8,127,8,R,24-May-79,United Film Distribution Company,Dawn of the Dead,1978
"Mystery
Comedy
Crime",Mystery,Comedy,6.7,99,9,PG,19-Jul-78,United Artists,Revenge of the Pink Panther,1978
"War
Drama",War,Drama,8.2,182,10,R,23-Feb-79,Universal Pictures,The Deer Hunter,1978
"Fantasy
Adventure
Action",Fantasy,Adventure,8.7,121,1,PG,25-May-77,Lucasfilm / 20th Century Fox,Star Wars,1977
"Romance
Comedy
Action",Romance,Comedy,6.8,96,2,PG,27-May-77,Universal Pictures,Smokey and the Bandit,1977
"Sci-Fi
Drama",Sci-Fi,Drama,7.7,137,3,PG,25-Dec-77,Columbia Pictures,Close Encounters of the Third Kind,1977
"Romance
Drama
Comedy",Romance,Drama,7.4,111,4,PG,1-Feb-78,Metro-Goldwyn-Mayer / Warner Bros. / Rastar,The Goodbye Girl,1977
"Romance
Music
Drama",Romance,Music,6.8,118,5,R,16-Dec-77,Paramount Pictures,Saturday Night Fever,1977
"Fantasy
Comedy",Fantasy,Comedy,6.5,98,6,PG,7-Oct-77,Warner Bros.,"Oh, God!",1977
"War
History
Drama",War,History,7.4,175,7,PG,15-Jun-77,United Artists,A Bridge Too Far,1977
"Thriller
Mystery
Adventure",Thriller,Mystery,6.1,123,8,PG,17-Jun-77,Columbia Pictures,The Deep,1977
"Thriller
Adventure
Action",Thriller,Adventure,7.1,125,9,PG,3-Aug-77,United Artists,The Spy Who Loved Me,1977
"Romance
Drama
Comedy",Romance,Drama,8.1,93,10,PG,20-Apr-77,United Artists,Annie Hall,1977
"Sport
Drama",Sport,Drama,8.1,119,1,PG,3-Dec-76,United Artists Pictures,Rocky,1976
"History
Documentary",History,Documentary,7,27,2,G,19-Jun-81,National Air and Space Museum,To Fly!,1976
"Romance
Music
Drama",Romance,Music,6.5,139,3,R,17-Dec-76,Warner Bros. Pictures,A Star Is Born,1976
"Thriller
Drama",Thriller,Drama,8,138,4,R,9-Apr-76,Warner Bros. Pictures,All the President's Men,1976
"Mystery
Horror
Drama",Mystery,Horror,7.6,111,5,R,25-Jun-76,20th Century Fox Film Corporation,The Omen,1976
"Family
Documentary",Family,Documentary,4.6,99,6,G,11-Feb-77,Sunn Classic Pictures,In Search of Noah's Ark,1976
"Horror
Fantasy
Adventure",Horror,Fantasy,5.8,134,7,PG,17-Dec-76,Paramount Pictures,King Kong,1976
"Crime
Comedy
Action",Crime,Comedy,6.9,114,8,PG,3-Dec-76,20th Century-Fox Film Corporation,Silver Streak,1976
"Thriller
Crime
Action",Thriller,Crime,6.8,96,9,R,22-Dec-76,Warner Bros. Pictures,The Enforcer,1976
"History
Drama
Action",History,Drama,6.7,132,10,PG,18-Jun-76,Universal Studios / Cinema International Corporation,Midway,1976
"Drama
Crime",Drama,Crime,8.1,125,4,R,21-Sep-75,Warner Bros.,Dog Day Afternoon,1975
"Romance
Drama",Romance,Drama,6.3,109,5,R,13-Mar-75,Columbia Pictures,Shampoo,1975
"Mystery
Crime
Comedy",Mystery,Crime,7.1,113,6,G,21-May-75,United Artists,The Return of the Pink Panther,1975
"Musical
Drama
Comedy",Musical,Drama,6.4,136,7,PG,15-Mar-75,Columbia Pictures,Funny Lady,1975
"Western
Family
Comedy",Western,Family,6.2,100,8,G,1-Jul-75,Walt Disney Productions,The Apple Dumpling Gang,1975
Drama,Drama,,6,88,9,PG,29-Apr-75,Columbia Pictures,"Aloha, Bobby and Rose",1975
"Drama
Western
War",Drama,Western,6.4,103,10,PG,20-Dec-75,Universal Pictures,The Other Side of the Mountain,1975
