genres,Genre_1,Genre_2,imdb_rating,length,rank_in_year,rating,release_date,studio,title,year
"Fantasy
Drama
Adventure",Fantasy,Drama,4.9,124,6,PG-13,30-Jun-10,Summit Entertainment,The Twilight Saga: Eclipse,2010
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,7.1,124,7,PG-13,7-May-10,Paramount / Marvel,Iron Man 2,2010
"Family
Comedy
Animation",Family,Comedy,7.8,100,8,PG,24-Nov-10,Disney,Tangled,2010
"Family
Comedy
Animation",Family,Comedy,7.7,95,9,PG,9-Jul-10,Universal / Illumination,Despicable Me,2010
"Family
Animation
Adventure",Family,Animation,8.2,98,10,PG,26-Mar-10,Paramount / DreamWorks,How to Train Your Dragon,2010
"Fantasy
Adventure
Action",Fantasy,Adventure,7.9,162,1,PG-13,18-Dec-09,Fox,Avatar,2009
"Fantasy
Family
Adventure",Fantasy,Family,7.5,153,2,PG,15-Jul-09,Warner Bros.,Harry Potter and the Half-Blood Prince,2009
"Animation
Adventure
Action",Animation,Adventure,7,94,3,PG,1-Jul-09,Fox / Blue Sky,Ice Age: Dawn of the Dinosaurs,2009
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,6,150,4,PG-13,24-Jun-09,Paramount / DreamWorks,Transformers: Revenge of the Fallen,2009
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,5.8,158,5,PG-13,13-Nov-09,Columbia,2012,2009
"Comedy
Animation
Adventure",Comedy,Animation,8.3,96,6,PG,29-May-09,Disney / Pixar,Up,2009
"Fantasy
Drama
Adventure",Fantasy,Drama,4.6,130,7,PG-13,20-Nov-09,Summit,The Twilight Saga: New Moon,2009
"Crime
Adventure
Action",Crime,Adventure,7.6,128,8,PG-13,25-Dec-09,Warner Bros.,Sherlock Holmes,2009
"Thriller
Mystery",Thriller,Mystery,6.7,138,9,PG-13,12-Dec-80,Columbia / Imagine,Angels & Demons,2009
Comedy,Comedy,,7.8,100,10,R,5-Jun-09,Warner Bros. / Legendary,The Hangover,2009
"Drama
Crime
Action",Drama,Crime,9,152,1,PG-13,18-Jul-08,Warner Bros. / Legendary,The Dark Knight,2008
"Adventure
Action",Adventure,Action,6.2,122,2,PG-13,22-May-08,Paramount / Lucasfilm,Indiana Jones and the Kingdom of the Crystal Skull,2008
"Animation
Adventure
Action",Animation,Adventure,7.6,92,3,PG,6-Jun-08,Paramount / DreamWorks,Kung Fu Panda,2008
"Fantasy
Action",Fantasy,Action,6.5,92,4,PG-13,2-Jul-08,Columbia,Hancock,2008
"Romance
Musical
Comedy",Romance,Musical,6.4,108,5,PG-13,18-Jul-08,Universal,Mamma Mia!,2008
"Animation
Adventure
Action",Animation,Adventure,6.7,89,6,PG,7-Nov-08,Paramount / DreamWorks,Madagascar: Escape 2 Africa,2008
"Adventure
Action",Adventure,Action,6.7,106,7,PG-13,14-Nov-08,MGM / Columbia,Quantum of Solace,2008
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,7.9,126,8,PG-13,2-May-08,Paramount / Marvel Studios,Iron Man,2008
"Family
Animation
Adventure",Family,Animation,8.4,98,9,G,27-Jun-08,Disney / Pixar,WALL-E,2008
"Family
Adventure
Action",Family,Adventure,6.6,150,10,PG,16-May-08,Disney / Walden Media,The Chronicles of Narnia: Prince Caspian,2008
"Fantasy
Adventure
Action",Fantasy,Adventure,7.1,169,1,PG-13,25-May-07,Disney,Pirates of the Caribbean: At World's End,2007
"Fantasy
Family
Adventure",Fantasy,Family,7.4,138,2,PG-13,11-Jul-07,Warner Bros.,Harry Potter and the Order of the Phoenix,2007
"Adventure
Action",Adventure,Action,6.2,139,3,PG-13,4-May-07,Columbia,Spider-Man 3,2007
"Comedy
Animation
Adventure",Comedy,Animation,6.1,93,4,PG,18-May-07,DreamWorks / Paramount,Shrek the Third,2007
